forest
residential
grass
farmland
meadow
farm
farmyard
reservoir
industrial
orchard
cemetery
vineyard
allotments
commercial
quarry
basin
retail
village_green
construction
garages
recreation_ground
conservation
brownfield
greenhouse_horticulture
military
greenfield
scrub
railway
field
landfill
wood
salt_pond
aquaculture
plant_nursery
reservoir_watershed
industrial
pond
mine
animal_keeping
religious
road
greenhouse
park
logging
traffic_island
school
wasteland
garden
leisure
building
yes
special_use
shelterbelt
depot
piste
peat_cutting
paddock
sand
civil
fishfarm
education
harbour
winter_sports
water
public
tree
observatory
garage
highway
grave_yard
wetland
green
animal_pen
mine_spoils
heath
graveyard
pasture
grassland
scree
plaza
abandoned
lane
government
contruction
college_court
public_facility
common
unknown
port_terminal
square
religion
beach
island
place_of_worship
airport
wellsite
spoit_tip
pitch
land
sport
community_services
aquaculture
recreation
hop_garden
proposed
pedestrian
utility
office
fish_farm
agriculture
transport
mining
nature_reserve
administrative
gated_community
institutional
